nuclide,energy_ev,intensity,source
31si,1265909.0,0.0000000693608,IAEA_Livechart_API
31si,1266083.85,0.00000000526854,IAEA_Livechart_API
27si,169256.0,0.00000684,IAEA_Livechart_API
27si,170699.0,0.000000468,IAEA_Livechart_API
27si,170810.93000000002,0.00000002502,IAEA_Livechart_API
27si,842196.0,0.0000001516,IAEA_Livechart_API
27si,843639.0,0.00000001032,IAEA_Livechart_API
27si,843750.93,0.0000000005484,IAEA_Livechart_API
27si,1012956.0,0.0000003368,IAEA_Livechart_API
27si,1014399.0,0.00000002292,IAEA_Livechart_API
27si,1014510.93,0.00000000122,IAEA_Livechart_API
27si,1718736.0,0.00000008242,IAEA_Livechart_API
27si,1720179.0,0.000000005603,IAEA_Livechart_API
27si,1720290.93,0.00000000029835,IAEA_Livechart_API
27si,2210446.0,0.0000007722,IAEA_Livechart_API
27si,2211889.0,0.00000005256,IAEA_Livechart_API
27si,2212000.93,0.0000000027954,IAEA_Livechart_API
26si,415284.0,0.00002760207,IAEA_Livechart_API
26si,416727.0,0.000001880141,IAEA_Livechart_API
26si,416838.93,0.000000099687476,IAEA_Livechart_API
26si,827736.0,0.000511864,IAEA_Livechart_API
26si,829179.0,0.0000348582,IAEA_Livechart_API
26si,829290.93,0.00000185518,IAEA_Livechart_API
26si,1432166.0,0.00000022267392,IAEA_Livechart_API
26si,1433609.0,0.000000015151872,IAEA_Livechart_API
26si,1433720.93,0.000000000805728,IAEA_Livechart_API
26si,1620436.0,0.000018944418,IAEA_Livechart_API
26si,1621879.0,0.0000012891975,IAEA_Livechart_API
26si,1621990.93,0.00000006866673,IAEA_Livechart_API
26si,1653166.0,0.000000259638,IAEA_Livechart_API
26si,1654609.0,0.000000017658,IAEA_Livechart_API
26si,1654720.93,0.00000000094176,IAEA_Livechart_API
26si,1842636.0,0.00000144960408,IAEA_Livechart_API
26si,1844079.0,0.000000098696448,IAEA_Livechart_API
26si,1844190.93,0.0000000052432488,IAEA_Livechart_API
26si,2321506.0,0.00000002600304,IAEA_Livechart_API
26si,2322949.0,0.00000000177016,IAEA_Livechart_API
26si,2323060.93,0.00000000009412368,IAEA_Livechart_API
26si,2510026.0,0.00000021270696,IAEA_Livechart_API
26si,2511469.0,0.00000001444686,IAEA_Livechart_API
26si,2511580.93,0.00000000077029428,IAEA_Livechart_API
26si,3493686.0,0.00000000208953,IAEA_Livechart_API
26si,3495129.0,0.0000000001417545,IAEA_Livechart_API
26si,3495240.9299999997,0.0000000000075537,IAEA_Livechart_API
36p,899324.0,0.00167552,IAEA_Livechart_API
36p,901568.0,0.0001292544,IAEA_Livechart_API
36p,901779.8,0.00001089792,IAEA_Livechart_API
36p,1281824.0,0.000080401,IAEA_Livechart_API
36p,1284068.0,0.0000062033,IAEA_Livechart_API
36p,1284279.8,0.00000052316,IAEA_Livechart_API
36p,3288224.0,0.000443,IAEA_Livechart_API
36p,3290468.0,0.0000341,IAEA_Livechart_API
36p,3290679.8,0.00000288,IAEA_Livechart_API
38p,1289824.0,0.00189774,IAEA_Livechart_API
38p,1292068.0,0.000146484,IAEA_Livechart_API
38p,1292279.8,0.0000123474,IAEA_Livechart_API
34p,1786318.0,0.00000056295,IAEA_Livechart_API
34p,1788562.0,0.000000043425,IAEA_Livechart_API
34p,1788773.8,0.000000003663,IAEA_Livechart_API
34p,1984714.0,0.0000012267,IAEA_Livechart_API
34p,1986958.0,0.000000094482,IAEA_Livechart_API
34p,1987169.7999999998,0.00000000797355,IAEA_Livechart_API
34p,2125023.0,0.00013635,IAEA_Livechart_API
34p,2127267.0,0.000010515,IAEA_Livechart_API
34p,2127478.8,0.0000008865,IAEA_Livechart_API
34p,4112044.0,0.0000005724,IAEA_Livechart_API
34p,4114287.9999999995,0.0000000441,IAEA_Livechart_API
34p,4114499.8,0.0000000037206,IAEA_Livechart_API
30p,1261286.0,0.0000000110079,IAEA_Livechart_API
30p,1262976.0,0.0000000007857,IAEA_Livechart_API
30p,1263116.54,0.000000000051759,IAEA_Livechart_API
30p,1532276.0,0.00000000096,IAEA_Livechart_API
30p,1533966.0,0.0000000000685,IAEA_Livechart_API
30p,1534106.54,0.00000000000452,IAEA_Livechart_API
30p,1550516.0,0.000000038114,IAEA_Livechart_API
30p,1552206.0,0.00000000272,IAEA_Livechart_API
30p,1552346.54,0.00000000017918,IAEA_Livechart_API
30p,2233386.0,0.00000033335,IAEA_Livechart_API
30p,2235076.0,0.000000023777,IAEA_Livechart_API
30p,2235216.54,0.0000000015694,IAEA_Livechart_API
30p,3496486.0,0.000000001815,IAEA_Livechart_API
30p,3498176.0,0.00000000012936,IAEA_Livechart_API
30p,3498316.54,0.0000000000085272,IAEA_Livechart_API
30p,3767376.0,0.00000000018968,IAEA_Livechart_API
30p,3769066.0,0.000000000013528,IAEA_Livechart_API
30p,3769206.54,0.000000000000892,IAEA_Livechart_API
30s,706552.0,0.00001537,IAEA_Livechart_API
30s,708509.0,0.000001131,IAEA_Livechart_API
30s,708683.85,0.000000087,IAEA_Livechart_API
30s,2340152.0,0.0000139764,IAEA_Livechart_API
30s,2342109.0,0.00000103968,IAEA_Livechart_API
30s,2342283.8499999996,0.000000078888,IAEA_Livechart_API
29s,1777125.0,0.000099412,IAEA_Livechart_API
29s,1778815.0,0.0000070992,IAEA_Livechart_API
29s,1778955.54,0.00000046748,IAEA_Livechart_API
31s,1263952.0,0.000018491,IAEA_Livechart_API
31s,1265909.0,0.0000013772,IAEA_Livechart_API
31s,1266083.85,0.00000010461,IAEA_Livechart_API
31s,2231452.0,0.0000000049132,IAEA_Livechart_API
31s,2233409.0,0.00000000036565,IAEA_Livechart_API
31s,2233583.85,0.000000000027761,IAEA_Livechart_API
31s,2237752.0,0.000000030919,IAEA_Livechart_API
31s,2239709.0,0.0000000022981,IAEA_Livechart_API
31s,2239883.85,0.00000000017493,IAEA_Livechart_API
31s,3131952.0,0.000000120204,IAEA_Livechart_API
31s,3133909.0,0.0000000089358,IAEA_Livechart_API
31s,3134083.85,0.000000000678612,IAEA_Livechart_API
31s,3324052.0,0.0000000021824,IAEA_Livechart_API
31s,3326009.0,0.00000000016244,IAEA_Livechart_API
31s,3326183.85,0.000000000012338,IAEA_Livechart_API
31s,3503752.0,0.000000023579,IAEA_Livechart_API
31s,3505709.0,0.000000001752,IAEA_Livechart_API
