pl_name,hostname,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,sy_dist,disc_facility
"Teegarden's Star c","Teegarden's Star",0.0455000000,0.0015000000,-0.0016000000,3.83078000,"Calar Alto Observatory"
"ome Ser b","ome Ser",0.8380000000,0.0020000000,-0.0010000000,76.75560000,"Okayama Astrophysical Observatory"
"HD 112570 b","HD 112570",3.9000000000,0.1600000000,-0.1600000000,101.16600000,"Multiple Observatories"
"Teegarden's Star d","Teegarden's Star",0.0791000000,0.0025000000,-0.0027000000,3.83078000,"Multiple Observatories"
"HD 73256 c","HD 73256",3.8000000000,0.1000000000,-0.1000000000,36.70800000,"La Silla Observatory"
"HD 14067 b","HD 14067",5.1500000000,0.1400000000,-0.1500000000,142.02400000,"Okayama Astrophysical Observatory"
"HD 120084 b","HD 120084",4.2100000000,0.1700000000,-0.1900000000,103.04400000,"Okayama Astrophysical Observatory"
"gam Lib b","gam Lib",1.3190000000,0.0030000000,-0.0030000000,47.40170000,"Okayama Astrophysical Observatory"
"HD 154391 b","HD 154391",7.4600000000,0.0700000000,-0.0700000000,100.94700000,"Multiple Observatories"
"TOI-969 c","TOI-969",2.5200000000,0.2700000000,-0.2900000000,77.25540000,"Multiple Observatories"
"Kepler-23 c","Kepler-23",0.0950100000,0.0007500000,-0.0007500000,835.75600000,"Kepler"
"WASP-163 b","WASP-163",0.0266000000,0.0014000000,-0.0014000000,261.38600000,"SuperWASP-South"
"WASP-150 b","WASP-150",0.0694000000,0.0011000000,-0.0008000000,527.99500000,"SuperWASP-North"
"TOI-907.01","TOI-907",0.0552254810,,,312.52900000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-57 c","Kepler-57",0.0958800000,0.0009500000,-0.0009500000,644.14000000,"Kepler"
"Kepler-305 d","Kepler-305",0.1209100000,0.0010800000,-0.0010800000,868.47700000,"Kepler"
"TOI-2084 b","TOI-2084",0.0500600000,0.0010300000,-0.0010300000,114.54900000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-28 b","Kepler-28",0.0568700000,0.0003600000,-0.0003600000,438.35900000,"Kepler"
"TOI-2525 c","TOI-2525",0.2490000000,0.0040000000,-0.0040000000,395.39800000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-3321 b","TOI-3321",0.0470000000,0.0012000000,-0.0010000000,285.89500000,"Transiting Exoplanet Survey Satellite (TESS)"
"TIC 46432937 b","TIC 46432937",0.0206500000,0.0003500000,-0.0003500000,90.53690000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1136 b","TOI-1136",0.0510600000,0.0009000000,-0.0009000000,84.53620000,"Transiting Exoplanet Survey Satellite (TESS)"
"Kepler-28 c","Kepler-28",0.0751900000,0.0004800000,-0.0004800000,438.35900000,"Kepler"
"HD 332231 b","HD 332231",0.1450000000,0.0030000000,-0.0030000000,80.66650000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1807 b","TOI-1807",0.0122000000,0.0002000000,-0.0002000000,42.57750000,"Transiting Exoplanet Survey Satellite (TESS)"
"NGTS-26 b","NGTS-26",0.0490000000,0.0038000000,-0.0032000000,1093.69000000,"Next-Generation Transit Survey (NGTS)"
"TOI-1630.01","TOI-1630",0.1011510000,0.0042540000,-0.0046370000,66.09290000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-1659.01","TOI-1659",0.0657570000,0.0026860000,-0.0029200000,122.49400000,"Transiting Exoplanet Survey Satellite (TESS)"
"TOI-2095 c","TOI-2095",0.1370000000,0.0060000000,-0.0060000000,41.91760000,"Transiting Exoplanet Survey Satellite (TESS)"
