KIC,Teff,log(g),Mass,Prot,e_Prot,n_Prot,Rper,LPH,w,Ref,_RA,_DE
 ,K,[cm/s2],Msun,d,d, ,ppm, , , ,deg,deg
--------,----,-----,-------,------,------,---,----------,------,-------,-,---------,---------
5788426,5680,4.62,1.0138,15.213,0.119,   ,7053.35,0.888,0.5718,0,290.97656,41.06635
5788471,5203,4.75,0.8868,34.628,1.722,   ,1659.21,0.604,0.3427,0,290.99298,41.08709
5788648,5782,4.36,1.0425,9.173,0.02,   ,12467.5,1.125,0.6617,0,291.05692,41.00451
5790645,5301,4.59,0.9122,31.097,0.594,   ,2418.46,0.627,0.3734,0,291.71869,41.05856
5790939,6476,4.36,1.2673,1.726,0.005,   ,1046.06,0.462,0.35,0,291.81958,41.09317
5791099,5178,4.61,0.8803,17.638,0.009,   ,45798.72,1.525,0.6828,0,291.86905,41.02053
5791190,5326,4.55,0.9188,18.454,0.243,   ,5575.84,0.985,0.6088,0,291.90067,41.02066
5791231,6065,4.38,1.1271,12.499,0.268,   ,1672.21,0.595,0.4127,0,291.91516,41.02273
5791308,5547,4.91,0.9774,22.547,1.21,   ,3268.93,0.373,0.2922,0,291.93991,41.02082
5791390,5030,4.64,0.842,11.481,0.015,   ,18151.34,1.336,0.7207,0,291.96442,41.08024
5791430,6157,4.51,1.1565,12.449,0.812,   ,1406.22,0.409,0.2871,0,291.97583,41.0784
5791529,4429,4.5,0.6802,0.652,0.004,   ,4148.19,0.768,0.4206,0,292.01038,41.04748
5791696,5081,4.68,0.8552,21.626,1.049,   ,6376.33,0.822,0.53,0,292.06573,41.07416
5791712,6033,4.65,1.1172,21.069,0.209,   ,1553.42,0.781,0.4384,0,292.07144,41.07575
5791714,5159,4.68,0.8754,17.626,0.068,   ,7685.72,0.907,0.5496,0,292.0715,41.03247
5791940,5860,4.23,1.0651,10.833,0.125,   ,3480.2,0.69,0.4625,0,292.14865,41.01832
5792079,5389,4.63,0.9353,21.158,0.206,   ,4147.53,0.748,0.5095,0,292.19525,41.05732
5792102,5591,4.49,0.9893,0.603,0.005,   ,667.04,0.541,0.3167,0,292.20181,41.01695
5792108,5189,4.3,0.8832,13.502,0.043,   ,21077.19,1.453,0.7055,0,292.20374,41.00601
5792146,6216,4.31,1.1759,8.429,1.81,   ,2261.64,0.315,0.2679,0,292.21863,41.05819
5792242,5366,4.58,0.9292,11.651,0.163,   ,5589.96,0.688,0.4117,0,292.24997,41.01143
5792243,5891,4.49,1.0742,10.551,0.188,   ,5067.77,0.808,0.532,0,292.25021,41.09729
5792250,5403,4.52,0.939,26.349,5.618,   ,2635.27,0.422,0.3058,0,292.25186,41.07067
5792307,5750,4.52,1.0334,12.447,0.125,   ,7032.78,1.093,0.6446,0,292.26865,41.08222
5792311,4610,4.53,0.7309,32.135,1.539,   ,5151.75,0.603,0.4125,0,292.26947,41.06318
5792430,4732,4.47,0.7639,15.79,0.03,   ,18190.8,1.211,0.6794,0,292.30322,41.02041
5792550,4741,4.57,0.7663,32.092,0.337,   ,7985.74,0.451,0.3316,0,292.33749,41.02972
5792658,6460,4.24,1.2614,3,0.003,   ,1810.88,1.279,0.6967,0,292.36523,41.03436
5792983,6067,4.44,1.1278,8.115,0.023,   ,377.24,0.615,0.4372,0,292.46158,41.04299
5793322,4977,4.82,0.8283,31.669,0.233,   ,4050.58,0.516,0.348,0,292.57516,41.04321
5793463,5566,4.59,0.9825,19.648,0.365,   ,4042.77,0.491,0.3611,0,292.61649,41.00603
